,0
158,vindt                                              Score: 5.988464105799826
159,kadett                                             Score: 5.907450493312068
160,hebt                                               Score: 5.8888294632833995
161,exclusief                                          Score: 5.834782443824939
162,graag                                              Score: 5.796980387809452
163,staan                                              Score: 5.79479482855669
164,plaats                                             Score: 5.767027562670384
165,eerste                                             Score: 5.762175569756681
166,rekord                                             Score: 5.739187388773943
167,eigen                                              Score: 5.734498990567709
168,laat                                               Score: 5.697981852866803
169,gebr                                               Score: 5.695083614606024
170,wagens                                             Score: 5.683489661060674
171,top                                                Score: 5.666874007953084
172,hoge                                               Score: 5.594255823352244
173,sportief                                           Score: 5.586216909983147
174,glas                                               Score: 5.55497893486179
175,motoren                                            Score: 5.5517316144327715
176,coup                                               Score: 5.54506620069003
177,adres                                              Score: 5.544184810482494
178,uitvoeringen                                       Score: 5.533260919577344
179,geldt                                              Score: 5.5166551385079305
180,dag                                                Score: 5.455646693235167
181,voordelen                                          Score: 5.444556333972512
182,minder                                             Score: 5.438278601282247
183,beste                                              Score: 5.435359514287657
184,gouden                                             Score: 5.4163739613853545
185,mmm                                                Score: 5.414348837399616
186,carrosserie                                        Score: 5.3990365896410575
187,bekleding                                          Score: 5.39894934442714
188,via                                                Score: 5.39238362372536
189,ruime                                              Score: 5.3902272638289235
190,ter                                                Score: 5.384812133401719
191,panda                                              Score: 5.377630375068166
192,wereld                                             Score: 5.374293047783874
193,showroom                                           Score: 5.353843835718569
194,achterbank                                         Score: 5.335337608251686
195,geheel                                             Score: 5.309190837248784
196,romeo                                              Score: 5.307009576829246
197,banden                                             Score: 5.300321720707573
198,incl                                               Score: 5.289772072268771
199,net                                                Score: 5.269221127920558
200,kost                                               Score: 5.262520100918324
201,tussen                                             Score: 5.258281069999283
202,zien                                               Score: 5.240810131176309
203,techniek                                           Score: 5.23920638370578
204,binnenuit                                          Score: 5.23915776552945
205,stuur                                              Score: 5.23872268828113
206,credit                                             Score: 5.236400241689138
207,veilig                                             Score: 5.2189690905032755
208,uniek                                              Score: 5.2027054715111545
209,tijdelijk                                          Score: 5.151840675898021
210,mag                                                Score: 5.144729650896975
211,uitgerust                                          Score: 5.133037607577875
212,steeds                                             Score: 5.121041789713592
213,comfortabel                                        Score: 5.110838781616224
214,jaren                                              Score: 5.1062415293908
215,zult                                               Score: 5.100668403579094
216,taunus                                             Score: 5.073127920012922
217,tijd                                               Score: 5.04218847680489
218,gids                                               Score: 5.041513809367092
219,voorzien                                           Score: 5.025151183093861
220,aantal                                             Score: 5.011869478343097
221,europa                                             Score: 5.010612476154916
222,elk                                                Score: 4.964249203772697
223,waarom                                             Score: 4.958386551330683
224,the                                                Score: 4.9560597005735705
225,compleet                                           Score: 4.955746452947785
226,autobedrijf                                        Score: 4.946550378020767
227,verder                                             Score: 4.935049085962305
228,special                                            Score: 4.908115442810827
229,motors                                             Score: 4.895538862847431
230,snelle                                             Score: 4.893769557806902
231,kleur                                              Score: 4.893397041066428
232,klaar                                              Score: 4.8862613989699994
233,overtoom                                           Score: 4.856850717111163
234,din                                                Score: 4.843611789179688
235,afgebeeld                                          Score: 4.806809045093221
236,betaalt                                            Score: 4.804513184290097
237,centrale                                           Score: 4.799996443154921
238,lijn                                               Score: 4.796099809191689
239,zeker                                              Score: 4.7943224761168475
240,zuinigheid                                         Score: 4.789231558052314
241,kleine                                             Score: 4.771989631765063
242,postbus                                            Score: 4.753357243564699
243,vraagt                                             Score: 4.750849642619914
244,unieke                                             Score: 4.737741080840283
245,fietsen                                            Score: 4.7326575317304655
246,schijfremmen                                       Score: 4.730410537315407
247,ziet                                               Score: 4.726815815836304
248,uiterst                                            Score: 4.71506575697276
249,super                                              Score: 4.711117305071284
250,wibautstraat                                       Score: 4.703778842910602
251,voorraad                                           Score: 4.650184354172169
252,hertz                                              Score: 4.641166878348533
253,plus                                               Score: 4.6280729324729375
254,mogelijk                                           Score: 4.627779286848328
255,general                                            Score: 4.623497419546584
256,komen                                              Score: 4.62179008181703
257,leasing                                            Score: 4.612522015505026
258,pas                                                Score: 4.5965895189577
259,zuinige                                            Score: 4.595116676010531
260,mensen                                             Score: 4.590711595111629
261,automobiel                                         Score: 4.585796058375639
262,keus                                               Score: 4.583007876153357
263,bijvoorbeeld                                       Score: 4.575008755197101
264,rijklaar                                           Score: 4.572042676051866
265,zoveel                                             Score: 4.568315144380661
266,liefst                                             Score: 4.563118559570094
267,nefkens                                            Score: 4.561239828594683
268,stand                                              Score: 4.554151880291065
269,dinpk                                              Score: 4.5496959507742085
270,koop                                               Score: 4.549263463646301
271,koopt                                              Score: 4.539379864668138
272,bijzonder                                          Score: 4.534269925131539
273,deuren                                             Score: 4.532612046418028
274,brede                                              Score: 4.524388838662194
275,grootste                                           Score: 4.491011874181153
276,hoeft                                              Score: 4.487653445084954
277,getint                                             Score: 4.485326882450404
278,voorwaarden                                        Score: 4.480394911661687
279,vooral                                             Score: 4.401300318392927
280,serie                                              Score: 4.392234918315695
281,dieselmotor                                        Score: 4.375465245021074
282,deal                                               Score: 4.370167123679777
283,automaat                                           Score: 4.366628318979311
284,rai                                                Score: 4.366625576771892
285,deur                                               Score: 4.357111723861106
286,hatchback                                          Score: 4.35026646986561
287,ridderkerk                                         Score: 4.350199496038652
288,prestatie                                          Score: 4.342568348937589
289,dashboard                                          Score: 4.340850233775591
290,corolla                                            Score: 4.329095997526339
291,snelheid                                           Score: 4.323993582271643
292,remmen                                             Score: 4.323077308700552
293,austin                                             Score: 4.315903188213411
294,dagen                                              Score: 4.310220583628652
295,personen                                           Score: 4.3074804349990705
296,haarlem                                            Score: 4.306048165498568
297,inkl                                               Score: 4.3041537909184155
298,gunstige                                           Score: 4.29884618365819
299,dichtstbijzijnde                                   Score: 4.297829982599616
300,maximum                                            Score: 4.297615370042382
301,beter                                              Score: 4.295179587898959
302,betekent                                           Score: 4.294328707513368
303,chevrolet                                          Score: 4.282871216580758
304,model                                              Score: 4.275514184209882
305,naam                                               Score: 4.2709094735165705
306,betrouwbaar                                        Score: 4.267636976850054
307,betalen                                            Score: 4.243899065255117
308,versnellingsbak                                    Score: 4.2409374511665865
309,best                                               Score: 4.230613505785367
310,blijft                                             Score: 4.23012257210361
311,nooit                                              Score: 4.224012847579057
312,komfort                                            Score: 4.222730419900848
313,rij                                                Score: 4.2181902367650626
314,voorbehou                                          Score: 4.210613269713633
315,type                                               Score: 4.2070657886524305
316,inlichtingen                                       Score: 4.198546271803754
317,ritmo                                              Score: 4.196094194563789
318,complete                                           Score: 4.189796424727951
319,kiezen                                             Score: 4.187628062588194
320,hele                                               Score: 4.1821005824715005
321,kans                                               Score: 4.176600423925731
322,betrouwbaarheid                                    Score: 4.168833633232447
323,voorwielaandrijving                                Score: 4.16679807347187
324,weinig                                             Score: 4.15128960057477
325,elektrisch                                         Score: 4.148821948411733
326,hoogte                                             Score: 4.128309829045456
327,kijken                                             Score: 4.124113397500698
328,bieden                                             Score: 4.104050715519959
329,comfortabele                                       Score: 4.102625166213392
330,onderhoud                                          Score: 4.096002587523573
331,aanbod                                             Score: 4.091556702964548
332,fraaie                                             Score: 4.090431770827126
333,neem                                               Score: 4.081814673106178
334,willen                                             Score: 4.055558390455952
335,prijswijzigingen                                   Score: 4.052753985495389
336,doet                                               Score: 4.050702283936614
337,rondom                                             Score: 4.050586864496897
338,rente                                              Score: 4.031299306543981
339,tijdens                                            Score: 4.022750295083393
340,smelt                                              Score: 4.021168246831718
341,geven                                              Score: 4.019072457564391
342,toe                                                Score: 4.0175032019779895
343,lange                                              Score: 4.0147976563343795
344,binckhorst                                         Score: 4.014609827369634
345,stoelen                                            Score: 4.012215213666048
346,overal                                             Score: 4.00618879026985
347,kiest                                              Score: 4.005948174079943
348,vracht                                             Score: 4.001899248225363
349,volledig                                           Score: 3.978314345818997
350,zaken                                              Score: 3.9671686503412134
351,laag                                               Score: 3.9529314762545122
352,acceleratie                                        Score: 3.9524820699955865
353,mooi                                               Score: 3.9502289310724366
354,stuk                                               Score: 3.9422017686041424
355,ten                                                Score: 3.934192617851615
356,kilometers                                         Score: 3.9324627257438363
357,maandag                                            Score: 3.9279790146403846
358,hoofdsteunen                                       Score: 3.923287750898816
359,dauphine                                           Score: 3.9212203573266504
360,gewoon                                             Score: 3.899668028065895
361,informatie                                         Score: 3.8914336715134406
362,uu                                                 Score: 3.8847121684096733
363,vermogen                                           Score: 3.8794874055952557
364,vrijdag                                            Score: 3.874274686905093
365,advertenties                                       Score: 3.8738436551789084
366,cortina                                            Score: 3.87382285299215
367,royale                                             Score: 3.865555216225044
368,all                                                Score: 3.8597254609973475
369,moderne                                            Score: 3.8568650856373745
370,mei                                                Score: 3.846351021071861
371,kopen                                              Score: 3.8449191883436904
372,technische                                         Score: 3.835159884672326
373,mercedesbenz                                       Score: 3.8300557419075862
374,maand                                              Score: 3.8210717897799205
375,vandaag                                            Score: 3.8210639635055523
376,laten                                              Score: 3.816129338190301
377,stuurbekrachtiging                                 Score: 3.8150426883823516
378,velgen                                             Score: 3.8115074132129076
379,bestelwagen                                        Score: 3.8048120308768385
380,meteen                                             Score: 3.8048092991363007
381,merken                                             Score: 3.785917093501082
382,showrooms                                          Score: 3.7818146770605736
383,helemaal                                           Score: 3.7731036779305995
384,sunny                                              Score: 3.765737844297224
385,vijf                                               Score: 3.748605736805719
386,daarbij                                            Score: 3.7472435773409978
387,informeren                                         Score: 3.7442593548985363
388,vin                                                Score: 3.739311514634227
389,genoeg                                             Score: 3.7367627560433956
390,carina                                             Score: 3.733453515720488
391,enkele                                             Score: 3.733225935344426
392,allemaal                                           Score: 3.7248607818831614
393,verbruik                                           Score: 3.7116767726280213
394,nieuws                                             Score: 3.705202908492262
395,verschillende                                      Score: 3.6897301269549905
396,kracht                                             Score: 3.683577109191577
397,enige                                              Score: 3.6794952899225923
398,bumpers                                            Score: 3.665050567263401
399,merk                                               Score: 3.656644189461154
400,bagage                                             Score: 3.655659656610842
401,huidige                                            Score: 3.647692346145482
402,automatische                                       Score: 3.644334252494257
403,doorroesten                                        Score: 3.641489966449556
404,voordelige                                         Score: 3.6337567234300687
405,kmh                                                Score: 3.6162098062881443
406,zaterdags                                          Score: 3.606757906209883
407,buitenspiegels                                     Score: 3.591989546414875
408,pittige                                            Score: 3.577155873988118
409,ooit                                               Score: 3.576822330211764
410,weten                                              Score: 3.5663573233015233
411,avonds                                             Score: 3.5654025684573907
412,neerklapbare                                       Score: 3.547651746365084
413,accessoires                                        Score: 3.5463665739744012
414,land                                               Score: 3.5323179119738137
415,welke                                              Score: 3.5287446546763306
416,versnellingen                                      Score: 3.5148786364768334
417,dynamisch                                          Score: 3.5023560588616425
418,krachtige                                          Score: 3.502350984010542
419,rat                                                Score: 3.5014589159043963
420,iedere                                             Score: 3.4949448305628996
421,zes                                                Score: 3.494440533931614
422,volle                                              Score: 3.4927494677664748
423,zolang                                             Score: 3.489414543108962
424,dezelfde                                           Score: 3.483672155715504
425,palace                                             Score: 3.477996633397417
426,oor                                                Score: 3.476669209868456
427,sport                                              Score: 3.4765213689384127
428,stap                                               Score: 3.468093093167501
429,ude                                                Score: 3.4603299448427314
430,car                                                Score: 3.4601788082474885
431,wanneer                                            Score: 3.45392701757008
432,bedrag                                             Score: 3.4536798937292614
433,vlotte                                             Score: 3.450816304571419
434,zowel                                              Score: 3.443544412133291
435,betrouwbare                                        Score: 3.4413516847768024
436,echte                                              Score: 3.433331513021323
437,gesloten                                           Score: 3.420106584748153
438,kompleet                                           Score: 3.415848623905458
439,anders                                             Score: 3.413999188428164
440,inruil                                             Score: 3.413637771382494
441,bagageruimte                                       Score: 3.4105363441148353
442,boven                                              Score: 3.401836671596331
443,gemaakt                                            Score: 3.3967588912744406
444,europese                                           Score: 3.3959543333455264
445,ritmeester                                         Score: 3.388463328495195
446,man                                                Score: 3.3874353754424282
447,show                                               Score: 3.383657484310801
448,schuifdak                                          Score: 3.380600315729229
449,iedereen                                           Score: 3.374163317270001
450,meerprijs                                          Score: 3.3473167663171153
451,portieren                                          Score: 3.342813643263647
452,nodig                                              Score: 3.3426458132256203
453,lekker                                             Score: 3.3375286999935785
454,kwaliteit                                          Score: 3.3350717932011738
455,kent                                               Score: 3.331894353694323
456,bom                                                Score: 3.3227657493107254
457,betreft                                            Score: 3.3191046180019006
458,importrice                                         Score: 3.312978059744148
459,hoog                                               Score: 3.292651388140183
460,katalysator                                        Score: 3.292482563998476
461,laken                                              Score: 3.283400398222506
462,adviesprijs                                        Score: 3.281547194715514
463,adviseert                                          Score: 3.2761326216508504
464,zoekt                                              Score: 3.2634534826477926
465,beweeg                                             Score: 3.2634141568344437
466,perfecte                                           Score: 3.2625951875143544
467,veilige                                            Score: 3.262181591783083
468,wegen                                              Score: 3.259668502518427
469,echt                                               Score: 3.2573245437763423
470,ideale                                             Score: 3.252874432517486
471,jaguar                                             Score: 3.2489846848715915
472,buiten                                             Score: 3.24481897831179
473,elektrische                                        Score: 3.2387619241732737
474,let                                                Score: 3.232637241496843
475,sterke                                             Score: 3.2250766933095747
476,nummer                                             Score: 3.2200382975433746
477,lease                                              Score: 3.2193067272023237
478,cilinder                                           Score: 3.219253211398759
479,waardoor                                           Score: 3.2111173772390598
480,eisen                                              Score: 3.201648789237515
481,jfl                                                Score: 3.200949335840407
482,kilometer                                          Score: 3.195414716077462
483,carrosseriegarantie                                Score: 3.1900496913871623
484,elf                                                Score: 3.189759567898219
485,speciaal                                           Score: 3.186391889841697
486,typen                                              Score: 3.1849195327027906
487,fll                                                Score: 3.1844567202865597
488,aantrekkelijke                                     Score: 3.171802503733912
489,ontdek                                             Score: 3.166467793724404
490,voordelig                                          Score: 3.163346554973535
491,bestel                                             Score: 3.1606586065360425
492,turbo                                              Score: 3.1561506854133423
493,rover                                              Score: 3.1549748939618905
494,vol                                                Score: 3.149824761062117
495,basis                                              Score: 3.142087410376251
496,civic                                              Score: 3.1318441441864433
497,zie                                                Score: 3.12805399341531
498,waard                                              Score: 3.1257842196230463
499,deskundig                                          Score: 3.125282450432942
500,ligt                                               Score: 3.1199334091489352
501,gescheiden                                         Score: 3.1142962704129498
502,nieuwste                                           Score: 3.1102690192947744
503,uiterlijk                                          Score: 3.1059734140968094
504,maart                                              Score: 3.091928146680144
505,fiesta                                             Score: 3.0902125171881525
506,louwman                                            Score: 3.0875825788057747
507,namelijk                                           Score: 3.0856954847374944
508,toerenteller                                       Score: 3.0756120328669776
509,kortom                                             Score: 3.072094773280176
510,wmm                                                Score: 3.07141138208906
511,stijl                                              Score: 3.06943377615547
512,sirocco                                            Score: 3.0614531207107634
513,mooie                                              Score: 3.0595990317535837
514,eigenschappen                                      Score: 3.0586202984176336
515,zitten                                             Score: 3.055161734566868
516,porsche                                            Score: 3.051549209111896
517,waarmee                                            Score: 3.0510525024691617
518,parqui                                             Score: 3.0494987761324515
519,week                                               Score: 3.0466939749290414
520,stationcar                                         Score: 3.044355210669529
521,welkom                                             Score: 3.0441744937132165
522,vakantie                                           Score: 3.0368750598700407
523,plymouth                                           Score: 3.0335510497086986
524,lop                                                Score: 3.0332040231849535
525,luxueuze                                           Score: 3.0329223173159425
526,metallic                                           Score: 3.032212286136752
527,toyotadealer                                       Score: 3.0234300738796747
528,totaal                                             Score: 3.020569894255245
529,gebruik                                            Score: 3.01757279579932
530,break                                              Score: 3.01661713323214
531,occasions                                          Score: 3.01523825032427
532,calandplein                                        Score: 3.010287598397634
533,beide                                              Score: 3.0057477118047027
534,stad                                               Score: 3.005603967281294
535,ander                                              Score: 2.997349682294933
536,zeggen                                             Score: 2.995545674631828
537,zorgt                                              Score: 2.994127009115162
538,cil                                                Score: 2.983831837101438
539,waarde                                             Score: 2.9796939934402893
540,onderdelen                                         Score: 2.973026859692841
541,lichtmetalen                                       Score: 2.971838342007333
542,vering                                             Score: 2.9663798014499148
543,dankzij                                            Score: 2.9617450356677764
544,houdt                                              Score: 2.9610250696662663
545,tapijt                                             Score: 2.956804782591373
546,dank                                               Score: 2.953349333471757
547,aanschaf                                           Score: 2.9524076755210293
548,exclusieve                                         Score: 2.945231756261727
549,september                                          Score: 2.942737182415951
550,uitrusting                                         Score: 2.9414841593555083
551,prijsklasse                                        Score: 2.925726038066326
552,volgens                                            Score: 2.921314764128798
553,precies                                            Score: 2.921092740291694
554,delen                                              Score: 2.90884152705238
555,neemt                                              Score: 2.9033409031129036
556,bijna                                              Score: 2.900159849915703
557,adam                                               Score: 2.8942443748843436
558,swing                                              Score: 2.8882845309852585
559,naast                                              Score: 2.8871067696142987
560,ramen                                              Score: 2.8807252235378242
561,sterk                                              Score: 2.8790491025194873
562,licht                                              Score: 2.8780087370876597
